Name,SKU,Price,_weight,Description,Featured,Categories,Image
"7/8"" Steering Wheel Disconnect",130328-K,29,2,"part# 130328-K
 
 <a name=""disconnect""></a>Trail-Gear's weld on steering wheel disconnect uses a solid billet steel hex shaft that you weld over your existing steering shaft or steering column. Then you would bolt our billet aluminum quick disconnect unit to your steering wheel. This system allows you to quickly disconnect your steering wheel by simply pushing a button on the quick disconnect.
 
 Our weld on steering wheel disconnect is ideal for buggies and truggies on dirt, mud, or sand. Competition tested and used by some of the world?s top drivers, you cannot go wrong with this product. Available in 3/4"" O.D. shaft or 7/8"" O.D. shaft.",No,Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/wheel-disconnect1.jpg
"3/4"" O.D. Steering Wheel Disconnect",130326-K,29,1,"part# 130326-K
 
 <a name=""disconnect""></a>Trail-Gear's weld on steering wheel disconnect uses a solid billet steel hex shaft that you weld over your existing steering shaft or steering column. Then you would bolt our billet aluminum quick disconnect unit to your steering wheel. This system allows you to quickly disconnect your steering wheel by simply pushing a button on the quick disconnect.
 
 Our weld on steering wheel disconnect is ideal for buggies and truggies on dirt, mud, or sand. Competition tested and used by some of the world?s top drivers, you cannot go wrong with this product. Available in 3/4"" O.D. shaft or 7/8"" O.D. shaft.",No,Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/wheel-disconnect.jpg
Toyota Full Hydraulic Steering Kit,130305-1-K,1259,30,"part# 130305-1-K
 
 Trail-Gear is the first†to bring you the <em><strong>first complete Toyota Full Hydraulic Steering Kit</strong></em>. This kit comes with everything needed to build a fully hydraulic steering system. All mounting brackets are included and have been specifically designed for Toyota applications and ease of installation.
 
 This kit takes all the guess work out of setting up a hydraulic steering system. The pump has an all steel housing and puts out 4.5 GPM of flow and 1650 PSI of pressure. All high pressure hoses are steel braided with crimped-on ends. This kit is ideal for use with links and also works with most leaf spring applications. Our kit is the most user friendly kit on the market, we thought of everything so you don''t have to.
 
 KIT INCLUDES:
 <ul>
 	<li>6"" Double Ended Ram and Clevis Kit</li>
 	<li>Orbital (100ml)</li>
 	<li>Full Hydraulic Steering Pump with Pulley</li>
 	<li>Tie Rod Kit</li>
 	<li>Double Ended Ram Mounting Kit</li>
 	<li>Steering Column</li>
 	<li>Orbital Mounting Kit</li>
 	<li>Reservoir with Filter</li>
 	<li>Reservoir Bracket</li>
 	<li>Cooler</li>
 	<li>Power steering belt</li>
 	<li>Complete hose kit</li>
 	<li>All necessary hardware</li>
 </ul>",No,Steering|Double Ended Rams|Steering|Full Hydraulic|Steering|Hoses And Fittings|Steering|Orbital Steering|Toyota,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/toy-full-hydro-kit.jpg
Orbital Mounting Kit,130295-1-K,20,2,"part# 130295-1-K
 
 Finally an easy way to mount your orbital without all the measuring and fabrication work. This kit is so simple that anyone with basic welding skills can have it fully installed in under an hour. The 3 plates that make up the kit are laser cut out of 3/16 inch steel, and precision machined for a perfect fit. This kit will fit most standard style orbitals used in this application. Kit is shipped unpainted and unwelded.",No,Steering|Full Hydraulic|Steering|Orbital Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/orbital-mount-kit.jpg
"8 3/4"" Steering Column For Orbital Box",130299-1,59,6,"part# <strong>13029</strong><strong>9-1</strong>
 
 <strong>This steering column measures 8 3/4 inches from the flange to the outer edge of the shaft, the OD of the shaft is 3/4 inches and is round with no splines. This kit can be used with a coupler and a steering shaft. Fits most popular steering valves used for rock crawling.† </strong>",No,Steering|Full Hydraulic|Steering|Orbital Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/orbital-column2.jpg
"4 3/4"" Steering Column For Orbital Box",130298-1,59,4,"part# <strong>130298-1</strong>
 
 <strong>This steering column measures 4 3/4 inches from the base of the flange to the outer edge of the shaft, the OD of the shaft is 3/4 inches and the shaft itself is round with no splines, it is a blank. This column will fit most popular steering valve applications currently used in off-roading. </strong>",No,Steering|Full Hydraulic|Steering|Orbital Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/orbital-column1.jpg
"3 1/4"" Steering Column For Orbital Box",130297-1,75,3,"part# <strong>130297-1</strong>
 
 This steering column will allow you to use your existing Toyota steering linkage without having to buy a coupler and then cut and weld on your steering shaft.† This steering column measures 3 1/4 inches from the base of the flange to the outer edge of the shaft, and fits most brands of steering valves (Orbitals) that are commonly used in this application.",No,Steering|Full Hydraulic|Steering|Orbital Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/orbital-column.jpg
"Orbital Steering Box For 10"" Stroke Ram",130045-1-K,299,8,"part# 130045-1-K
 
 All of Trail-Gear?s orbitals (steering control valves) have a built in return-to-center function. This means that when the driver releases the wheel the tires will automatically return to the center position. This is a convenient feature that allows for slow rock crawling or driving at higher speeds. The amount of turns it takes to get from lock to lock will depend on what ram you combine with your orbital.",No,Steering|Double Ended Rams|Steering|Full Hydraulic|Steering|Orbital Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/orbital2.jpg
"Orbital Steering Box For 8"" Stroke Ram",130044-1-K,299,8,"part# 130044-1-K
 
 All of Trail-Gear?s orbitals (steering control valves) have a built in return-to-center function. This means that when the driver releases the wheel the tires will automatically return to the center position. This is a convenient feature that allows for slow rock crawling or driving at higher speeds. The amount of turns it takes to get from lock to lock will depend on what ram you combine with your orbital.",No,Steering|Double Ended Rams|Steering|Full Hydraulic|Steering|Orbital Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/orbital1.jpg
"Orbital Steering Box For 6"" Stroke Ram ",130043-1-K,299,8,"part# 130043-1-K
 
 All of Trail-Gear?s orbitals (steering control valves) have a built in return-to-center function. This means that when the driver releases the wheel the tires will automatically return to the center position. This is a convenient feature that allows for slow rock crawling or driving at higher speeds. The amount of turns it takes to get from lock to lock will depend on what ram you combine with your orbital.",No,Steering|Double Ended Rams|Steering|Full Hydraulic|Steering|Orbital Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/orbital.jpg
Rock Assault Steering Pump 1650 Psi,130304-1-K,185,8,"part# 130304-1-K
 
 This TC style power steering pump is the best of the best. It features an all steel housing to handle extreme heat and puts out an amazing 4.5 GPM of flow and 1,650PSI of pressure. The anodized aluminum pulley on this pump is designed to fit Toyota applications and is shipped pre-installed. Each pump is bench tested to ensure quality. This pump will run all full hydraulic applications popularly used in rock crawling today.
 
 <strong>Note: Using anything other than a power steering pulley installer to install your pulley on this pump will void the warranty. Never use ATF fluid, or a semi-synthetic blend. This will void the warranty. OK to use standard power steering fluid or a full synthetic. Royal Purple fully synthetic power steering fluid recommended.</strong>",No,Steering|Full Hydraulic|Steering|Pumps|Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/pump.jpg
Rock Assault Steering Pump 1650 Psi W/O Pulley,130303,185,6,"part# 130303
 
 This TC style power steering pump is the best of the best. It features an all steel housing to handle extreme heat and puts out an amazing 4.5 GPM of flow and 1,650PSI of pressure. Pump has #6 JIC male on pressure port and #10 JIC fitting on suction side. Each pump is bench tested to ensure quality. This pump will run all full hydraulic applications popularly used in rock crawling today. Pulley not included.
 
 <strong>Note: Using anything other than a power steering pulley installer to install your pulley on this pump will void the warranty. Never use ATF fluid, or a semi-synthetic blend. This will void the warranty. OK to use standard power steering fluid or a full synthetic. Royal Purple fully synthetic power steering fluid recommended.</strong>",No,Steering|Full Hydraulic|Steering|Pumps|Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/rock-assault-pump-no-pulley1.jpg
Pulley For Rock Assault Pump,130503-1,37,1,"part# 130503-1
 
 This pulley is designed to fit our standard or full hydraulic power steering pumps.",No,Steering|Full Hydraulic|Steering|Pumps|Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/pump-pulley.jpg
Rock Assault Pump Without Pulley,130038-1,135,6,"part# 130038-1
 
 This TC style power steering pump features an all steel housing to handle extreme heat and puts out 4 GPM of flow and 1,450PSI of pressure. Each pump is bench tested to ensure quality. This pump is designed for use in a hydraulic ram assist application.
 
 <strong>Note: Using anything other than a power steering pulley installer to install your pulley on this pump will void the warranty. Never use ATF fluid, or a semi-synthetic blend. This will void the warranty. OK to use standard power steering fluid or a full synthetic. Royal Purple fully synthetic power steering fluid recommended.</strong>",No,Steering|Pumps|Steering|Ram Assist|Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/rock-assault-pump-no-pulley.jpg
Rock Assault Steering Pump Kit For Toyota 3.0 V-6 1650 Psi,130082-1-K,549,18,"part# 130082-1-K
 
 <a name=""v6""></a>We all know that the stock pump on a 3.0 is just not enough to turn big tires or run a ram assist and when you try and drill out the inlet to get more volume the result is a loud pump followed by pump failure. A new Toyota stock pump puts out around 1,300 PSI at only one gallon per minute. Our Rock Assault? Pumps put out 1,450 and 1,650 PSI at 4-4.5 GPM, which is more than enough volume to provide you with the steering power that you will need to turn big tires or run a ram assist or full hydraulic steering system.
 
 Trail-Gear has hand picked each component in this kit to ensure quality, ease of installation, and durability. This kit ships complete with all parts included and full color installation instructions.
 
 <strong>Application Notes:</strong> This pump and bracket is designed to fit all Toyota V6 3.0 Pickups and 4Runners from 1989-1995. This kit does not work with 3.0 Tacoma?s. This kit will not work on 4Runners with a functioning AC, because the AC cooling fan must be removed for the placement of the PS Pump cooler.
 
 Never use ATF fluid, or a semi-synthetic blend. This will void the warranty. Ok to use standard power steering fluid or a full synthetic. Royal Purple fully synthetic power steering fluid recommended.",No,Steering|Full Hydraulic|Steering|Hoses And Fittings|Steering|Pumps|Steering|Ram Assist|Steering|Reservoirs And Coolers|Vehicle Brands|Toyota|Steering|Toyota,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/3.0-rock-assault-pump-kit1.jpg
Rock Assault Steering Pump Kit For Toyota 3.0 v-6 1450 Psi,130081-1-K,489,18,"part# 130081-1-K
 
 <a name=""v6""></a>We all know that the stock pump on a 3.0 is just not enough to turn big tires or run a ram assist and when you try and drill out the inlet to get more volume the result is a loud pump followed by pump failure. A new Toyota stock pump puts out around 1,300 PSI at only one gallon per minute. Our Rock Assault? Pumps put out 1,450 and 1,650 PSI at 4-4.5 GPM, which is more than enough volume to provide you with the steering power that you will need to turn big tires or run a ram assist or full hydraulic steering system.
 
 Trail-Gear has hand picked each component in this kit to ensure quality, ease of installation, and durability. This kit ships complete with all parts included and full color installation instructions.
 
 <strong>Application Notes:</strong> This pump and bracket is designed to fit all Toyota V6 3.0 Pickups and 4Runners from 1989-1995. This kit does not work with 3.0 Tacoma?s. This kit will not work on 4Runners with a functioning AC, because the AC cooling fan must be removed for the placement of the PS Pump cooler.
 
 Never use ATF fluid, or a semi-synthetic blend. This will void the warranty. Ok to use standard power steering fluid or a full synthetic. Royal Purple fully synthetic power steering fluid recommended.",No,Steering|Hoses And Fittings|Steering|Pumps|Steering|Ram Assist|Steering|Reservoirs And Coolers|Vehicle Brands|Toyota|Steering|Toyota,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/3.0-rock-assault-pump-kit.jpg
V-Belt For Rock Assault Pump For 22r And 20r,130519-1,22,0.5,"part# 130519-1
 
 V-belt for use with rock assault pump and bracket kit for use only with 20r and 22r engines",No,Steering|Pumps|Steering|Ram Assist|Vehicle Brands|Toyota|Steering|Toyota,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/rock-assault-pump-and-bracket2.jpg
Rock Assault Pump Bracket For Toyota 22r And 20r,130501-1-K,53,3,"part# 130501-1-K
 
 The Trail-Gear Rock-Assault? pump puts out 1,450 psi of pressure at 4 gallons per minute. This provides the full fluid volume for your steering box and ram are looking for, even at an idle. Works with ram assist or full hydro steering applications. Pump includes pre-installed pulley.
 
 Reservoir bracket makes for easy mounting on 20r and 22r motors. Unpainted finish.
 
 Note: Never use ATF fluid, or a semi-synthetic blend. This will void the warranty. Ok to use standard power steering fluid or a full synthetic. Royal Purple fully synthetic power steering fluid recommended",No,Steering|Pumps|Steering|Ram Assist|Vehicle Brands|Toyota|Steering|Toyota,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/rock-assault-pump-and-bracket1.jpg
Rock Assault Pump With Pulley,130500-1-K,165,8,"part# 130500-1-K
 
 The Trail-Gear Rock-Assault? pump puts out 1,450 psi of pressure at 4 gallons per minute. This provides the full fluid volume for your steering box and ram are looking for, even at an idle. Works with ram assist or full hydro steering applications. Pump includes pre-installed pulley.
 
 Note: Never use ATF fluid, or a semi-synthetic blend. This will void the warranty. Ok to use standard power steering fluid or a full synthetic. Royal Purple fully synthetic power steering fluid recommended.",No,Steering|Pumps|Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/rock-assault-pump-and-bracket.jpg
Rock Assault Steering Pump Kit 1650 Psi,130568-1-K,489,19,"part# 130568-1-K
 
 The stock Toyota pump is just barely able to supply the volume and pressure needed to run Hydraulic assist steering. The stock pump puts out 1,300 PSI at only one gallon per minute. The stock pump is not able to provide enough fluid to run both the stock steering and the demands of a ram, especially at low RPM's. Drilling out the restrictor plates in a stock pump for more volume often leads to pump failure.
 
 The answer is a replacement ""TC"" style pump. The Trail-Gear Rock-Assault? pumps puts out either 1,450 or 1,650 PSI of pressure at 4 and 4.5 gallons per minute respectively. This provides the full fluid volume your steering box and ram are looking for, even at an idle.
 
 Pump kit includes your choice of 1,450 or 1,650 PSI pump, pump bracket, reservoir, reservoir bracket, belt, fittings, hoses, &amp; hardware. Pump kit is designed to work with stock or ram drilled IFS power steering boxes.
 
 Application Notes: This pump and bracket is designed to fit all Toyota 4cyl 4wd motors from 1979 - 1995. A large power steering fluid cooler (included) is required on the low pressure side of the system. Pump bracket works in conjunction with stock idler bracket. If your truck is not currently equipped with power steering, you will need to purchase the idler bracket and replace the steering gear box with one designed for use with power steering. The stock fan belt will not work with this pump and will need to be replaced with Napa #9430 belt. Belt is included with kit.
 
 Note: You may choose either the OEM bracket or the Trail-Gear tube mount bracket.
 
 Note: Never use ATF fluid, or a semi-synthetic blend. This will void the warranty. Ok to use standard power steering fluid or a full synthetic. Royal Purple fully synthetic power steering fluid recommended",No,Steering|Hoses And Fittings|Steering|Pumps|Steering|Ram Assist|Steering|Reservoirs And Coolers|Vehicle Brands|Toyota|Steering|Toyota,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/rock-assault-pump-kit1.jpg
Rock Assault Steering Pump Kit 1450 psi,130502-1-K,419,16,"part# 130502-1-K
 
 The stock Toyota pump is just barely able to supply the volume and pressure needed to run Hydraulic assist steering. The stock pump puts out 1,300 PSI at only one gallon per minute. The stock pump is not able to provide enough fluid to run both the stock steering and the demands of a ram, especially at low RPM's. Drilling out the restrictor plates in a stock pump for more volume often leads to pump failure.
 
 The answer is a replacement ""TC"" style pump. The Trail-Gear Rock-Assault? pumps puts out either 1,450 or 1,650 PSI of pressure at 4 and 4.5 gallons per minute respectively. This provides the full fluid volume your steering box and ram are looking for, even at an idle.
 
 Pump kit includes your choice of 1,450 or 1,650 PSI pump, pump bracket, reservoir, reservoir bracket, belt, fittings, hoses, &amp; hardware. Pump kit is designed to work with stock or ram drilled IFS power steering boxes.
 
 Application Notes: This pump and bracket is designed to fit all Toyota 4cyl 4wd motors from 1979 - 1995. A large power steering fluid cooler (included) is required on the low pressure side of the system. Pump bracket works in conjunction with stock idler bracket. If your truck is not currently equipped with power steering, you will need to purchase the idler bracket and replace the steering gear box with one designed for use with power steering. The stock fan belt will not work with this pump and will need to be replaced with Napa #9430 belt. Belt is included with kit.
 
 Note: You may choose either the OEM bracket or the Trail-Gear tube mount bracket.
 
 Note: Never use ATF fluid, or a semi-synthetic blend. This will void the warranty. Ok to use standard power steering fluid or a full synthetic. Royal Purple fully synthetic power steering fluid recommended",No,Steering|Pumps|Steering|Ram Assist|Steering|Reservoirs And Coolers|Vehicle Brands|Toyota|Steering|Toyota,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/rock-assault-pump-kit.jpg
Fluid Reservoir Bracket, 130513-1-K,42,2,"part#††130513-1-K
 
 When installing a high flow pump such as the one listed above, it is important to use a larger reservoir to provide enough fluid when the system needs it. The stock reservoir is fine for the stock pump but is not adequate for the TC style aftermarket pumps. Side input of reservoir is a #6 JIC fitting and the bottom outlet to pump is a #10 JIC fitting. Reservoir includes cap.
 
 Reservoir bracket makes it easy to bolt in the reservoir on most 4cyl 4X4 Toyota applications from 1979 - 1995. Includes mounting hardware. Unpainted finish.",No,Steering|Reservoirs And Coolers|Steering|Toyota,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/reservoir-bracket-kit1.jpg
Fluid Reservoir,130512-1,85,4,"part# 130512-1
 
 When installing a high flow pump such as the one listed above, it is important to use a larger reservoir to provide enough fluid when the system needs it. The stock reservoir is fine for the stock pump but is not adequate for the TC style aftermarket pumps. Side input of reservoir is a #6 JIC fitting and the bottom outlet to pump is a #10 JIC fitting. Reservoir includes cap.",No,Steering|Full Hydraulic|Steering|Hoses And Fittings|Steering|Pumps|Steering|Ram Assist|Steering|Reservoirs And Coolers|Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/reservoir-bracket-kit.jpg
Steering Fluid Cooler,130516-1,79,0,"part# 130516-1
 
 If you're running a high volume/pressure pump your system is generating much more heat then the stock system. Fluid overheating can cause damage to steering pump and steering box. Installing a oil cooler in front of the radiator is the best way to prevent this over heating. Our cooler features a fin area of 9"" X 8"" and does a great job of keeping the steering fluid temps under control in all conditions. Mounting kit sold separately.",No,Steering|Full Hydraulic|Steering|Ram Assist|Steering|Reservoirs And Coolers|Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/steering-cooler.jpg
Reservoir Bracket,130309-K,27,2,"part# 130309-K
 
 Our Rock Assault? Reservoir Bracket bolts right to the back of our Rock Assault? Reservoir and allows you to either weld the other side of the bracket to your cage (coped for 1 1/2? tubing) or simply butt weld it to a piece of flat stock. This kit makes mounting our Rock Assault? Reservoir easy and efficient. The Rock Assault? Reservoir Bracket is made from 1/8? steel plate that is CNC laser cut and then CNC precision bent.",No,Axles,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/res-bracket1.jpg|http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/res-bracket.jpg
Reservoir Filter Bracket,130308,27,2,"part# 130308
 
 Our Rock Assault? Reservoir Filter Bracket bolts right to the back of our Rock Assault? Reservoir Filter Kit (into the pre-tapped holes) and allows you to either weld the other side of the bracket to your cage (coped for 1 1/2? tubing) or simply butt weld it to a piece of flat stock. This kit makes mounting our Rock Assault? Reservoir Filter Kit easy and efficient. The Rock Assault? Reservoir Filter Kit Bracket is made from 3/16? steel plate that is CNC laser cut and then CNC precision bent.",No,Steering|Full Hydraulic|Steering|Reservoirs And Coolers|Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/filter-bracket1.jpg|http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/filter-bracket.jpg
Reservoir Filter Kit,130565-1-K,219,9,"part# 130565-1-K
 
 When you have invested thousands of dollars into your full hydraulic steering system, you will want to protect it with the best reservoir and filter that you can get. That is why Trail-Gear has developed our new Rock Assault? Reservoir. It is not only heavy duty, but also compact and user friendly. It features a full size hydraulic oil filter that will keep all the bad stuff out of your power steering pump and hydraulic ram. Our Rock Assault? Reservoir also comes with an internal baffle, features two internal magnets, and is completely sealed with top quality o-rings to prevent any fluid leakage. This reservoir also has a quick drain plug that is located at the bottom of the unit that will allow you to easily drain your system in minutes. Our unique fluid flow design is rated up to 15GPM and allows you to use your steering system while the truck is on its side or at other unusual angles that it might incur during rock crawling or desert racing.
 
 Note: Do not fill more than 1/2"" above the internal baffle.
 
 Features:
 <ul>
 	<li>Compact</li>
 	<li>Quick drain plug</li>
 	<li>Internal baffle</li>
 	<li>#10 JIC fitting compatible</li>
 	<li>Heavy duty</li>
 	<li>Easy change filter</li>
 	<li>Surface area acts as a heat sink</li>
 	<li>Port location offers optimum fluid flow</li>
 	<li>Also reduces aeration</li>
 	<li>O-ring sealed system</li>
 </ul>",No,Steering|Full Hydraulic|Steering|Ram Assist|Steering|Reservoirs And Coolers|Steering,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/reservoir-filter-kit.jpg
Low Pressure Ifs Box Fitting,130510-1,25,0.5,"part# 130510-1
 
 Replacement Low Pressure IFS Steering Box Fitting",No,Vehicle Brands|Toyota|Steering|Toyota,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/box-low-pressure-fitting.jpg
Sector Shaft Lock Washer,130032-1,2,0.5,"part#130032-1
 
 Replacement nut and washer for bolting on pitman arm to steering box. Fits 4wd IFS steering box from 1986-1995 Pickup and 4Runner.",No,Vehicle Brands|Toyota|Steering|Toyota,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/steering-box-nut-and-lock1.jpg
Sector Shaft Nut,130031-1,3,0.5,"part# 130031-1
 
 Replacement nut and washer for bolting on pitman arm to steering box. Fits 4wd IFS steering box from 1986-1995 Pickup and 4Runner.",No,Vehicle Brands|Toyota|Steering|Toyota,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/steering-box-nut-and-lock.jpg
Ifs Box Mount,130004-1-K,42,6,"part# 130004-1-K
 
 If you're installing crossover steering on your 79-85 4wd Toyota you're going to need to mount an IFS steering box. This frame mount kit includes both inner and outer frame reinforcing plates, grade 8 bolts, DOM tubing, and Crimp nuts. Inner plate is 3/16"", outer plate is 1/4"". Angled leading and trailing edges prevent frame cracking. Heavy duty design. No questions asked, lifetime warranty.",No,Vehicle Brands|Toyota|Steering|Toyota,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/ifsboxmount-shadow-225.jpg
FJ 60/62 Steering Box ,130034-1,449,32,"part# 130034-1
 
 Rebuilt FJ60/62 steering boxes. These steering boxes feature reverse cut internal gears. The pitman arm swings in front of the steering box instead of behind like the IFS style shown above. If you're moving your front axle all the way forward with links and don't want a steering box and frame hanging way out in front then consider using this box as it can be mounted behind the drag link instead of in front of it. This steering box has four mounting holes and will require custom mounting if you are using it on a Pickup/4Runner or Samurai. Sector shaft and input shafts have the same splines as IFS boxes. All boxes are completely rebuilt with new seals and bearings. No core return needed. Each unit is tested before shipping.",No,Vehicle Brands|Toyota|Steering|Toyota,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/fj-box.jpg
Steering Box Plug,130033-1,3,0.5,"part# 130033-1
 
 1/4"" NPT plug fitting. Used to plug steering box ram outlets. A pair of these plugs can be used to disconnect a hydro ram from the steering box.",No,Steering|Ram Assist|Vehicle Brands|Toyota|Steering|Toyota,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/steering-box-plug.jpg
D/S5-796X Dana Spicer 1330 To 7290 Series Crossover U-Joint,,28.99,3,"<li>Forge†Cross†† D/S5-796X Dana Spicer 1330 To 7290 Series Crossover U-Joint</li>
 	<li>Lubeable</li>
 	<li>Cup Size A= 1.062in.</li>
 	<li>Outside To Outside A= 3.625in.</li>
 	<li>Cup Size B= 1.125in.</li>
 	<li>Snap Ring To Snap Ring B=2.625in.</li>",No,"Driveline,Yokes,U-joints",http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/ujoints3.jpg
D/S5-648X Dana Spicer 1330 To 1350 Series Crossover U-Joint,,53.99,4,"<li>Dana Spicer 1330 To 1350 Series Crossover U-Joint D/S5-648X</li>
 	<li>Forged Cross</li>
 	<li>Lubeable</li>
 	<li>Outside Snap Ring</li>
 	<li>Cup Size A= 1.062in.</li>
 	<li>Outside To Outside A= 3.625in.</li>
 	<li>Cup Size B= 1.188in.</li>
 	<li>Outside To Outside B=3.625in.</li>",No,"Driveline,Yokes,U-joints",http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/ujoints2.jpg
D/S5-527X Dana Spicer 7260 To 7290 Series Crossover U-Joint,,49.99,4,"<li>Dana Spicer 7260 To 7290 Series Crossover U-Joint D/S5-527X</li>
 	<li>Forged Cross</li>
 	<li>Lubeable</li>
 	<li>Cup Size A= 1.078in.</li>
 	<li>Snap Ring To Snap Ring A=1.125in.</li>
 	<li>Cup Size B= 1.125in.</li>
 	<li>Snap Ring To Snap Ring B=2.625in.</li>",No,"Driveline,Yokes,U-joints",http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/ujoints1.jpg
D/S5-460X Dana Spicer 1310 To 1350 Series Crossover U-Joint,,44.99,3,"<li>Dana Spicer 1310 To 1350 Series Crossover U-Joint</li>
 	<li>Forged Cross</li>
 	<li>Lubeable</li>
 	<li>Outside Snap Ring</li>
 	<li>Cup Size A= 1.062in.</li>
 	<li>Outside To Outside A= 3.2190in.</li>
 	<li>Cup Size B= 1.188in.</li>
 	<li>Outside To Outside B=3.625in.</li>",No,"Driveline,Yokes,U-joints",http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/images3.jpg
D/S5-353X Dana Spicer 1310 To 7260 Series Crossover U-Joint,,31.99,3,"<li>D/S5-353 X Dana Spicer 1310 To 7260 Series Crossover U-JointForged Cross</li>
 	<li>Lubeable</li>
 	<li>Cup Size A= 1.062in.</li>
 	<li>Outside To Outside A= 3.219in.</li>
 	<li>Cup Size B= 1.078in.</li>
 	<li>Snap Ring To Snap Ring B=1.125in.</li>",No,"Driveline,Yokes,U-joints",http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/images2.jpg
D/S5-3022X Dana Spicer 1310 To GM 3R Series Crossover U-Joint,,42.99,3,"<li>Dana Spicer 1310 To GM 3R Series Crossover U-Joint</li>
 	<li>Forged Cross</li>
 	<li>Lubeable</li>
 	<li>Cup Size A= 1.062in.</li>
 	<li>Outside To Outside A= 3.219in.</li>
 	<li>Cup Size B= 1.1250in.</li>
 	<li>Snap Ring To Snap Ring B=2.556in.</li>",No,"Driveline,Yokes,U-joints",http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/images1.jpg
 Dana Spicer 1330 To GM 3R Series Crossover U-Joint- 5-212X,,35.99,3,"<li>Dana Spicer 1330 To GM 3R Series Crossover U-Joint 5-212X</li>
 	<li>Forged Cross</li>
 	<li>Lubeable</li>
 	<li>Cup Size A= 1.062in.</li>
 	<li>Outside To Outside A= 3.625in.</li>
 	<li>Cup Size B= 1.1250in.</li>
 	<li>Snap Ring To Snap Rin</li>",No,"Driveline,Yokes,U-joints",http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/images.jpg
D/S5-134X   Dana Spicer 1310 To 1330 Series Crossover U-Joint,,25.99,3,"<div>
 	<li>Price: <strong>$25.99</strong> Dana Spicer 1310 To 1330 Series Crossover U-Joint</li>
 </div>
 <ul>
 	<li><small>† </small>Dana Spicer 1310 To 1330 Series Crossover U-Joint</li>
 	<li>Forged Cross</li>
 	<li>Lubeable</li>
 	<li>Outside Snap Ring</li>
 	<li>Cup Size A= 1.062in.</li>
 	<li>Outside To Outside A= 3.2190in.</li>
 	<li>Cup Size B= 1.062in.</li>
 	<li>Outside To Outside B=3.625in.</li>
 </ul>",No,"Driveline,Yokes,U-joints",http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/ujoints.jpg
GM VEHICLE SPEED SENSOR,,58.9,1,"12376520††††††† VEHICLE SPEED SENSOR, GM 40 Pulse generator for use with VSS bracket and Park Brake assemblies",No,Electrical|Transmission/Transfer Case,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/924-12376520.jpg
Wiring Harness ,,44.95,2,ARB-180409††††† ARB - Air Locker wiring harness - COMPLETE,No,ARB parts|Electrical,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/922-ARB180409.jpg
"Wiring harness with 12 fuse box, GM plugs",,249,6,"1WH-12††††† WH-12 wirng harness with 12 fuse box, GM plugins, 2 flashers - Wiring upgrade for most older offroad and street vehicles",No,Electrical,http://precisionweldingoffroad:8888/wp-content/uploads/2013/03/919-1WH12.jpg
